"Feature_Set","Input","Output","Dropout","Filters","Kernel","Dense","Seed_23","Seed_27","Seed_98","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"hist_tech",2,1,0.2,"32-64-128",3,64,0.5549,0.4835,0.467,0.5018,0.0467,0.467,0.5549,0.0794,0.6368,0.6574,0.4054
"hist_tech",2,3,0.4,"32-64-128",3,64,0.5167,0.6111,0.5056,0.5444,0.058,0.5056,0.6111,0.0018,0.7328,0.7869,0.2414
"hist_tech",2,5,0.2,"32-64-128",5,128,0.6292,0.6124,0.618,0.6199,0.0086,0.6124,0.6292,3e-04,0.75,0.75,0.2826
"hist_tech",4,1,0.2,"32-64-128",3,256,0.4944,0.45,0.4667,0.4704,0.0225,0.45,0.4944,0.5884,0.4485,0.3491,0.7027
"hist_tech",4,3,0.3,"32-64-128",3,64,0.5506,0.5393,0.4438,0.5112,0.0587,0.4438,0.5506,0.1012,0.633,0.575,0.5
"hist_tech",4,5,0.4,"32-64-128",3,256,0.6477,0.5739,0.5114,0.5777,0.0683,0.5114,0.6477,1e-04,0.7687,0.7923,0.2391
"hist_tech",6,1,0.4,"32-64-128",5,128,0.5787,0.4382,0.4831,0.5,0.0717,0.4382,0.5787,0.0213,0.6479,0.6571,0.4658
"hist_tech",6,3,0.2,"32-64-128",5,128,0.5739,0.5341,0.5227,0.5436,0.0269,0.5227,0.5739,0.0296,0.6667,0.6356,0.4483
"hist_tech",6,5,0.3,"64-128-256",3,128,0.5172,0.5,0.569,0.5287,0.0359,0.5,0.569,0.0405,0.6888,0.6484,0.3478
"technical",2,1,0.2,"64-128-256",3,128,0.3901,0.5165,0.4231,0.4432,0.0656,0.3901,0.5165,0.3555,0.6174,0.6574,0.3108
"technical",2,3,0.4,"32-64-128",3,128,0.5556,0.6056,0.5278,0.563,0.0394,0.5278,0.6056,0.0028,0.73,0.7869,0.2241
"technical",2,5,0.4,"64-128-256",3,256,0.4326,0.4831,0.5618,0.4925,0.0651,0.4326,0.5618,0.0576,0.709,0.7197,0.1087
"technical",4,1,0.4,"32-64-128",3,128,0.4556,0.5278,0.4333,0.4722,0.0494,0.4333,0.5278,0.2512,0.6288,0.6792,0.3108
"technical",4,3,0.4,"64-128-256",3,64,0.6011,0.6348,0.6742,0.6367,0.0366,0.6011,0.6742,0,0.8054,1,0
"technical",4,5,0.4,"32-64-128",3,64,0.6932,0.6364,0.5966,0.642,0.0485,0.5966,0.6932,0,0.7955,0.8077,0.3696
"technical",6,1,0.4,"32-64-128",3,256,0.5899,0.4719,0.5393,0.5337,0.0592,0.4719,0.5899,0.0099,0.7384,0.981,0.0274
"technical",6,3,0.4,"64-128-256",3,64,0.625,0.6705,0.6136,0.6364,0.0301,0.6136,0.6705,0,0.8027,1,0
"technical",6,5,0.4,"64-128-256",3,64,0.6724,0.6954,0.7069,0.6916,0.0176,0.6724,0.7069,0,0.8145,0.875,0.2391
"historical",2,1,0.3,"64-128-256",3,64,0.478,0.5769,0.489,0.5147,0.0542,0.478,0.5769,0.0225,0.6751,0.7407,0.3378
"historical",2,3,0.4,"32-64-128",3,64,0.5556,0.6444,0.5056,0.5685,0.0703,0.5056,0.6444,1e-04,0.7681,0.8689,0.1724
"historical",2,5,0.4,"32-64-128",3,64,0.5449,0.6404,0.3652,0.5169,0.1398,0.3652,0.6404,1e-04,0.7576,0.7576,0.3043
