"Fon","Input","Output","Best_d","Test_Acc"
"ALZ",2,1,0,1
"ALZ",2,3,0,1
"ALZ",2,5,0,1
"ALZ",4,1,0,1
"ALZ",4,3,0,1
"ALZ",4,5,0,1
"ALZ",6,1,0,1
"ALZ",6,3,0,1
"ALZ",6,5,0,1
"AZS",2,1,2,0.6829
"AZS",2,3,2,0.6923
"AZS",2,5,2,0.6757
"AZS",4,1,2,0.6829
"AZS",4,3,2,0.6923
"AZS",4,5,2,0.6757
"AZS",6,1,3,0.6829
"AZS",6,3,3,0.6923
"AZS",6,5,3,0.6757
"AMZ",2,1,0,0.6585
"AMZ",2,3,0,0.6923
"AMZ",2,5,0,0.8108
"AMZ",4,1,3,0.5366
"AMZ",4,3,0,0.6923
"AMZ",4,5,0,0.8108
"AMZ",6,1,1,0.5854
"AMZ",6,3,3,0.6923
"AMZ",6,5,3,0.8108
