"Fon","Feature_Set","Input","Output","Dropout","Filters","Kernel","Dense","Seed_23","Seed_27","Seed_98","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"ALZ","full",2,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",2,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",2,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"AZS","full",2,1,0.2,"32-64-128",3,64,0.5625,0.625,0.625,0.6083,0.0289,0.5625,0.625,0.0769,0.7541,0.8519,0.1538
"AZS","full",2,3,0.3,"64-128-256",3,256,0.59375,0.6875,0.6875,0.6579,0.0456,0.59375,0.6875,0.0168,0.7857,0.8462,0.3333
"AZS","full",2,5,0.2,"32-64-128",3,64,0.625,0.625,0.6875,0.6481,0.0321,0.625,0.6875,0.0326,0.7931,0.9583,0.0833
"AZS","full",4,1,0.2,"32-64-128",3,256,0.625,0.625,0.65625,0.6404,0.0152,0.625,0.65625,0.0365,0.7451,0.76,0.4615
"AZS","full",4,3,0.4,"32-64-128",3,64,0.65625,0.6875,0.71875,0.6852,0.0424,0.65625,0.71875,0.0057,0.8387,1,0
"AZS","full",4,5,0.3,"32-64-128",3,64,0.65625,0.65625,0.6875,0.6667,0.017,0.65625,0.6875,0.0288,0.807,1,0
"AZS","full",6,1,0.2,"32-64-128",3,64,0.625,0.625,0.6875,0.6481,0.0321,0.625,0.6875,0.0326,0.7857,0.9167,0.1667
"AZS","full",6,3,0.2,"32-64-128",3,128,0.65625,0.65625,0.6875,0.6667,0.017,0.65625,0.6875,0.0288,0.8,0.88,0.1111
"AZS","full",6,5,0.2,"32-64-128",3,64,0.6875,0.71875,0.71875,0.7083,0.018,0.6875,0.71875,0.01,0.8364,1,0
"AZS","technical",2,1,0.2,"32-64-128",3,128,0.53125,0.625,0.65625,0.6083,0.0629,0.53125,0.65625,0.0192,0.806,1,0
"AZS","technical",2,3,0.3,"32-64-128",3,64,0.6842,0.6842,0.6842,0.6842,0,0.6842,0.6842,0.0168,0.8125,1,0
"AZS","technical",2,5,0.2,"32-64-128",3,64,0.6667,0.6667,0.6667,0.6667,0,0.6667,0.6667,0.0326,0.8,1,0
"AZS","technical",4,1,0.3,"64-128-256",3,64,0.4375,0.5,0.5,0.4825,0.0304,0.4375,0.5,0.5643,0.6415,0.68,0.1538
"AZS","technical",4,3,0.3,"64-128-256",3,64,0.65625,0.6875,0.71875,0.6852,0.0424,0.65625,0.71875,0.0057,0.8387,1,0
"AZS","technical",4,5,0.3,"32-64-128",3,64,0.46875,0.5625,0.625,0.5588,0.0778,0.46875,0.625,0.0607,0.7857,0.9565,0
"AZS","technical",6,1,0.2,"32-64-128",3,64,0.65625,0.6875,0.75,0.6944,0.0481,0.65625,0.75,0.002,0.8085,0.7917,0.6667
"AZS","technical",6,3,0.2,"32-64-128",3,64,0.53125,0.5625,0.71875,0.6078,0.1033,0.53125,0.71875,0.0122,0.8276,0.96,0
"AZS","technical",6,5,0.2,"32-64-128",3,64,0.65625,0.71875,0.71875,0.6979,0.0361,0.65625,0.71875,0.01,0.8364,1,0
"AZS","closing",2,1,0.2,"32-64-128",3,64,0.675,0.675,0.675,0.675,0,0.675,0.675,0.0192,0.806,1,0
"AZS","closing",2,3,0.2,"32-64-128",3,64,0.6842,0.6842,0.6842,0.6842,0,0.6842,0.6842,0.0168,0.8125,1,0
"AZS","closing",2,5,0.2,"32-64-128",3,64,0.6667,0.6667,0.6667,0.6667,0,0.6667,0.6667,0.0326,0.8,1,0
"AZS","closing",4,1,0.2,"32-64-128",3,64,0.6579,0.6579,0.6579,0.6579,0,0.6579,0.6579,0.0365,0.7937,1,0
"AZS","closing",4,3,0.2,"32-64-128",3,64,0.7222,0.7222,0.7222,0.7222,0,0.7222,0.7222,0.0057,0.8387,1,0
"AZS","closing",4,5,0.2,"32-64-128",3,64,0.6765,0.6765,0.6765,0.6765,0,0.6765,0.6765,0.0288,0.807,1,0
"AZS","closing",6,1,0.2,"32-64-128",3,64,0.6667,0.6667,0.6667,0.6667,0,0.6667,0.6667,0.0326,0.8,1,0
"AZS","closing",6,3,0.2,"32-64-128",3,64,0.7353,0.7353,0.7353,0.7353,0,0.7353,0.7353,0.0045,0.8475,1,0
"AZS","closing",6,5,0.2,"32-64-128",3,64,0.7188,0.7188,0.7188,0.7188,0,0.7188,0.7188,0.01,0.8364,1,0
"AMZ","full",2,1,0.2,"32-64-128",3,64,0.59375,0.65625,0.65625,0.6333,0.0289,0.59375,0.65625,0.0403,0.7586,0.8462,0.2857
"AMZ","full",2,3,0.2,"32-64-128",3,64,0.46875,0.46875,0.5,0.4825,0.0152,0.46875,0.5,0.5643,0.6667,0.7308,0
"AMZ","full",2,5,0.2,"32-64-128",3,256,0.65625,0.78125,0.8125,0.75,0.0735,0.65625,0.8125,2e-04,0.8923,1,0
"AMZ","full",4,1,0.4,"32-64-128",3,256,0.5,0.53125,0.53125,0.5175,0.0152,0.5,0.53125,0.4357,0.6786,0.7917,0.0714
"AMZ","full",4,3,0.2,"64-128-256",3,128,0.53125,0.53125,0.5625,0.5463,0.016,0.53125,0.5625,0.3089,0.6923,0.75,0.1667
"AMZ","full",4,5,0.3,"32-64-128",3,64,0.59375,0.6875,0.78125,0.6863,0.0899,0.59375,0.78125,0.0015,0.8462,0.8148,0.5714
"AMZ","full",6,1,0.2,"32-64-128",3,64,0.46875,0.625,0.65625,0.5833,0.1002,0.46875,0.65625,0.0144,0.7442,0.7273,0.6429
"AMZ","full",6,3,0.3,"32-64-128",3,256,0.375,0.46875,0.46875,0.4412,0.0509,0.375,0.46875,0.5679,0.6531,0.7273,0.0833
"AMZ","full",6,5,0.3,"64-128-256",3,256,0.5,0.5,0.625,0.5417,0.0722,0.5,0.625,0.1077,0.75,0.72,0.2857
"AMZ","technical",2,1,0.3,"64-128-256",3,256,0.55,0.55,0.55,0.55,0,0.55,0.55,0.3179,0.6897,0.7692,0.1429
"AMZ","technical",2,3,0.2,"32-64-128",3,64,0.40625,0.5,0.59375,0.5,0.0949,0.40625,0.59375,0.1279,0.7541,0.8846,0
"AMZ","technical",2,5,0.2,"32-64-128",3,64,0.71875,0.78125,0.8125,0.7778,0.0481,0.71875,0.8125,2e-04,0.8923,1,0
"AMZ","technical",4,1,0.4,"64-128-256",3,256,0.5,0.53125,0.5625,0.5351,0.0304,0.5,0.5625,0.3136,0.6792,0.75,0.2143
"AMZ","technical",4,3,0.2,"64-128-256",3,64,0.34375,0.46875,0.5,0.4444,0.0833,0.34375,0.5,0.434,0.6531,0.6667,0.25
"AMZ","technical",4,5,0.4,"32-64-128",3,64,0.71875,0.78125,0.78125,0.7549,0.034,0.71875,0.78125,4e-04,0.8852,1,0
"AMZ","technical",6,1,0.2,"32-64-128",3,256,0.28125,0.46875,0.53125,0.4259,0.1313,0.28125,0.53125,0.434,0.6531,0.7273,0.2143
"AMZ","technical",6,3,0.2,"32-64-128",3,64,0.5,0.5625,0.5625,0.5392,0.034,0.5,0.5625,0.3038,0.717,0.8636,0
"AMZ","technical",6,5,0.2,"32-64-128",3,64,0.59375,0.71875,0.75,0.6875,0.0827,0.59375,0.75,0.0011,0.8772,1,0
"AMZ","closing",2,1,0.2,"32-64-128",3,64,0.65,0.65,0.65,0.65,0,0.65,0.65,0.0403,0.7879,1,0
"AMZ","closing",2,3,0.2,"32-64-128",3,64,0.6842,0.6842,0.6842,0.6842,0,0.6842,0.6842,0.0168,0.8125,1,0
"AMZ","closing",2,5,0.3,"32-64-128",3,64,0.8056,0.8056,0.8056,0.8056,0,0.8056,0.8056,2e-04,0.8923,1,0
"AMZ","closing",4,1,0.2,"32-64-128",3,64,0.46875,0.53125,0.71875,0.5702,0.1298,0.46875,0.71875,0.0365,0.7451,0.7917,0.4286
"AMZ","closing",4,3,0.2,"32-64-128",3,64,0.6667,0.6667,0.6667,0.6667,0,0.6667,0.6667,0.0326,0.8,1,0
