"Fon","Feature_Set","Input","Output","Dropout","Seed_23","Seed_27","Seed_98","Filters","Kernel","Dense","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"ALZ","full",2,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",2,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",2,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,1,"adam",0.9375,0.96875,1,"relu",0,0,0.9737,0.0263,0.9375,1,0,1,1,NA
"ALZ","technical",4,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,1,"adam",0.96875,1,1,"relu",0,1,0.9907,0.016,0.96875,1,0,1,1,NA
"ALZ","technical",6,3,"adam",0.90625,0.96875,1,"relu",0,0,0.9608,0.0449,0.90625,1,0,1,1,NA
"ALZ","technical",6,5,"adam",0.8125,1,1,"relu",0,1,0.9375,0.1083,0.8125,1,0,1,1,NA
"ALZ","closing",2,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"AZS","full",2,1,"adam",0.625,0.71875,0.71875,"relu",0,0,0.6833,0.052,0.625,0.71875,0.0032,0.8,0.8148,0.5385
"AZS","full",2,3,"adam",0.5625,0.59375,0.625,"relu",0,0,0.5877,0.0304,0.5625,0.625,0.1279,0.7541,0.8846,0
"AZS","full",2,5,"adam",0.6667,0.6667,0.6667,"relu",0,0.6667,0.6667,0,0.6667,0.6667,0.0326,0.7931,0.9583,0.0833
"AZS","full",4,1,"adam",0.40625,0.5625,0.625,"relu",0,0,0.5263,0.1147,0.40625,0.625,0.1279,0.7059,0.72,0.3846
"AZS","full",4,3,"sgd",0.6875,0.6875,0.75,"tanh",0.2,0,0.7037,0.0321,0.6875,0.75,0.0057,0.8387,1,0
"AZS","full",4,5,"adam",0.6765,0.6765,0.6765,"tanh",0,0.6765,0.6765,0,0.6765,0.6765,0.0288,0.807,1,0
"AZS","full",6,1,"adam",0.625,0.65625,0.71875,"tanh",0.4,0,0.6667,0.0481,0.625,0.71875,0.0144,0.807,0.9583,0.1667
