"Feature_Set","Input","Output","Optimizer","Activation","Dropout","Seed_23","Seed_27","Seed_98","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"hist_tech",2,1,"sgd","relu",0,0.544,0.544,0.4725,0.5201,0.0412,0.4725,0.544,0.1331,0.5744,0.5185,0.5811
"hist_tech",2,3,"sgd","relu",0.4,0.5889,0.5556,0.4944,0.5463,0.0479,0.4944,0.5889,0.0103,0.6754,0.6311,0.5
"hist_tech",2,5,"sgd","relu",0.2,0.6798,0.5337,0.6292,0.6142,0.0742,0.5337,0.6798,0,0.7865,0.7955,0.3478
"hist_tech",4,1,"sgd","relu",0.2,0.5556,0.4444,0.5444,0.5148,0.0612,0.4444,0.5556,0.0783,0.6226,0.6226,0.4595
"hist_tech",4,3,"adam","relu",0.4,0.4944,0.5955,0.5562,0.5487,0.051,0.4944,0.5955,0.0066,0.7231,0.7833,0.2069
"hist_tech",4,5,"sgd","relu",0,0.6648,0.6193,0.4148,0.5663,0.1332,0.4148,0.6648,0,0.7631,0.7308,0.4783
"hist_tech",6,1,"adam","relu",0.2,0.5449,0.5337,0.5056,0.5281,0.0203,0.5056,0.5449,0.1304,0.6747,0.8,0.1781
"hist_tech",6,3,"sgd","tanh",0.4,0.4261,0.625,0.4318,0.4943,0.1132,0.4261,0.625,6e-04,0.7537,0.8559,0.1552
"hist_tech",6,5,"adam","relu",0.2,0.454,0.5632,0.5345,0.5172,0.0566,0.454,0.5632,0.0556,0.6911,0.6641,0.2826
"technical",2,1,"adam","relu",0.2,0.4725,0.4725,0.4945,0.4799,0.0127,0.4725,0.4945,0.588,0.5208,0.463,0.5405
"technical",2,3,"sgd","tanh",0.4,0.6056,0.5667,0.5722,0.5815,0.021,0.5667,0.6056,0.0028,0.7437,0.8443,0.1034
"technical",2,5,"sgd","relu",0.2,0.4551,0.5281,0.4438,0.4757,0.0458,0.4438,0.5281,0.25,0.641,0.5682,0.413
"technical",4,1,"adam","relu",0,0.4389,0.4667,0.4333,0.4463,0.0179,0.4333,0.4667,0.8337,0.5514,0.5566,0.3378
"technical",4,3,"sgd","tanh",0.2,0.4663,0.5899,0.5674,0.5412,0.0658,0.4663,0.5899,0.0099,0.692,0.6833,0.3966
"technical",4,5,"adam","tanh",0,0.5852,0.6648,0.5852,0.6117,0.0459,0.5852,0.6648,0,0.787,0.8385,0.1739
"technical",6,1,"adam","tanh",0,0.5899,0.5225,0.5393,0.5506,0.0351,0.5225,0.5899,0.0099,0.742,1,0
"technical",6,3,"sgd","tanh",0.4,0.5739,0.6705,0.625,0.6231,0.0483,0.5739,0.6705,0,0.8027,1,0
"technical",6,5,"sgd","tanh",0,0.7356,0.6897,0.7184,0.7146,0.0232,0.6897,0.7356,0,0.8467,0.9922,0.0217
"historical",2,1,"adam","relu",0,0.5055,0.4121,0.4451,0.4542,0.0474,0.4121,0.5055,0.4705,0.5263,0.463,0.5676
"historical",2,3,"sgd","relu",0,0.6778,0.6778,0.6778,0.6778,0,0.6778,0.6778,0,0.8079,1,0
"historical",2,5,"sgd","relu",0,0.7416,0.7416,0.7416,0.7416,0,0.7416,0.7416,0,0.8516,1,0
"historical",4,1,"adam","relu",0.2,0.4333,0.45,0.45,0.4444,0.0096,0.4333,0.45,0.9217,0.2774,0.1792,0.8378
"historical",4,3,"sgd","tanh",0.2,0.6742,0.6742,0.6742,0.6742,0,0.6742,0.6742,0,0.8054,1,0
"historical",4,5,"sgd","relu",0,0.7386,0.7386,0.7386,0.7386,0,0.7386,0.7386,0,0.8497,1,0
"historical",6,1,"adam","relu",0.2,0.4551,0.4101,0.4157,0.427,0.0245,0.4101,0.4551,0.8988,0.292,0.1905,0.8356
"historical",6,3,"adam","relu",0.4,0.5455,0.6023,0.6534,0.6004,0.054,0.5455,0.6534,0,0.7889,0.9661,0.0172
"historical",6,5,"sgd","relu",0,0.7356,0.7356,0.7356,0.7356,0,0.7356,0.7356,0,0.8477,1,0
"closing",2,1,"adam","relu",0,0.5934,0.5934,0.5934,0.5934,0,0.5934,0.5934,0.0071,0.7448,1,0
"closing",2,3,"adam","relu",0,0.6778,0.6778,0.6778,0.6778,0,0.6778,0.6778,0,0.8079,1,0
"closing",2,5,"adam","relu",0,0.7416,0.7416,0.7416,0.7416,0,0.7416,0.7416,0,0.8516,1,0
"closing",4,1,"adam","relu",0,0.5889,0.5889,0.5889,0.5889,0,0.5889,0.5889,0.0103,0.7413,1,0
"closing",4,3,"sgd","relu",0,0.6742,0.6742,0.6742,0.6742,0,0.6742,0.6742,0,0.8054,1,0
"closing",4,5,"adam","relu",0,0.7386,0.7386,0.7386,0.7386,0,0.7386,0.7386,0,0.8497,1,0
"closing",6,1,"adam","relu",0,0.5899,0.5899,0.5899,0.5899,0,0.5899,0.5899,0.0099,0.742,1,0
"closing",6,3,"adam","tanh",0,0.6705,0.6705,0.6705,0.6705,0,0.6705,0.6705,0,0.8027,1,0
"closing",6,5,"adam","relu",0,0.7356,0.7356,0.7356,0.7356,0,0.7356,0.7356,0,0.8477,1,0
