"Feature_Set","Input","Output","Dropout","Filters","Kernel","Dense","Seed_23","Seed_27","Seed_98","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"hist_tech",2,1,0.3,"64-128-256",3,256,0.5132,0.5296,0.5625,0.5351,0.0251,0.5132,0.5625,0.0168,0.5398,0.5132,0.6118
"hist_tech",2,3,0.4,"32-64-128",3,256,0.5331,0.553,0.5331,0.5397,0.0115,0.5331,0.553,0.0371,0.6381,0.758,0.331
"hist_tech",2,5,0.3,"32-64-128",3,64,0.51,0.51,0.5067,0.5089,0.0019,0.5067,0.51,0.3864,0.4655,0.4051,0.6268
"hist_tech",4,1,0.3,"32-64-128",3,128,0.4801,0.4073,0.4735,0.4536,0.0403,0.4073,0.4801,0.7728,0.4332,0.4,0.5592
"hist_tech",4,3,0.3,"64-128-256",3,128,0.4533,0.4467,0.4833,0.4611,0.0195,0.4467,0.4833,0.7373,0.2584,0.1742,0.8138
"hist_tech",4,5,0.4,"32-64-128",3,64,0.4832,0.4664,0.4832,0.4776,0.0097,0.4664,0.4832,0.738,0.45,0.4038,0.5704
"hist_tech",6,1,0.3,"64-128-256",3,64,0.5067,0.5067,0.5167,0.51,0.0058,0.5067,0.5167,0.3017,0.142,0.0811,0.9408
"hist_tech",6,3,0.2,"32-64-128",3,128,0.4832,0.5,0.5034,0.4955,0.0108,0.4832,0.5034,0.4769,0.4752,0.4379,0.5724
"hist_tech",6,5,0.4,"32-64-128",5,128,0.4324,0.4831,0.4459,0.4538,0.0262,0.4324,0.4831,0.7387,0.3651,0.2857,0.6972
"technical",2,1,0.2,"32-64-128",5,128,0.5132,0.5461,0.5329,0.5307,0.0166,0.5132,0.5461,0.0607,0.6034,0.6908,0.4013
"technical",2,3,0.2,"32-64-128",3,128,0.4934,0.5099,0.4901,0.4978,0.0106,0.4901,0.5099,0.3868,0.5771,0.6433,0.3655
"technical",2,5,0.3,"32-64-128",3,256,0.4633,0.4633,0.4967,0.4744,0.0192,0.4633,0.4967,0.5687,0.5081,0.4937,0.5
"technical",4,1,0.4,"32-64-128",3,256,0.4934,0.447,0.4801,0.4735,0.0239,0.447,0.4934,0.6132,0.5405,0.6,0.3882
"technical",4,3,0.4,"32-64-128",5,128,0.5333,0.4867,0.49,0.5033,0.026,0.4867,0.5333,0.1363,0.4776,0.4129,0.6621
"technical",4,5,0.3,"64-128-256",3,128,0.4765,0.4933,0.5168,0.4955,0.0202,0.4765,0.5168,0.3011,0.405,0.3141,0.7394
"technical",6,1,0.4,"64-128-256",3,128,0.5033,0.49,0.5033,0.4989,0.0077,0.49,0.5033,0.477,0.5443,0.6014,0.4079
"technical",6,3,0.2,"32-64-128",3,64,0.4463,0.5101,0.4933,0.4832,0.033,0.4463,0.5101,0.3861,0.5133,0.5033,0.5172
"technical",6,5,0.3,"64-128-256",3,128,0.5236,0.4899,0.4932,0.5023,0.0186,0.4899,0.5236,0.225,0.5552,0.5714,0.4718
"historical",2,1,0.3,"32-64-128",3,256,0.5132,0.4868,0.4441,0.4814,0.0349,0.4441,0.5132,0.3441,0.5488,0.5921,0.4342
"historical",2,3,0.2,"32-64-128",3,64,0.4702,0.4934,0.4702,0.4779,0.0134,0.4702,0.4934,0.6132,0.2609,0.172,0.8414
"historical",2,5,0.4,"32-64-128",3,128,0.47,0.5133,0.5133,0.4989,0.025,0.47,0.5133,0.3431,0.5,0.462,0.5704
"historical",4,1,0.2,"32-64-128",3,64,0.4967,0.4768,0.4338,0.4691,0.0322,0.4338,0.4967,0.5685,0.5394,0.5933,0.4013
"historical",4,3,0.3,"32-64-128",3,256,0.4767,0.4833,0.47,0.4767,0.0067,0.47,0.4833,0.7373,0.4816,0.4645,0.5034
"historical",4,5,0.2,"64-128-256",3,128,0.4866,0.4832,0.4765,0.4821,0.0051,0.4765,0.4866,0.6989,0.4706,0.4359,0.5423
"historical",6,1,0.2,"32-64-128",3,64,0.54,0.5167,0.4833,0.5133,0.0285,0.4833,0.54,0.0921,0.5818,0.6486,0.4342
"historical",6,3,0.4,"32-64-128",3,128,0.5369,0.5235,0.5302,0.5302,0.0067,0.5235,0.5369,0.1119,0.631,0.7712,0.2897
"historical",6,5,0.3,"32-64-128",3,64,0.5338,0.5169,0.5405,0.5304,0.0122,0.5169,0.5405,0.0906,0.5879,0.6299,0.4437
"closing",2,1,0.2,"64-128-256",3,64,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5229,NA,0,1
"closing",2,3,0.3,"64-128-256",3,128,0.4801,0.4801,0.4801,0.4801,0,0.4801,0.4801,0.7728,NA,0,1
"closing",2,5,0.2,"32-64-128",3,64,0.4733,0.4733,0.4733,0.4733,0,0.4733,0.4733,0.8368,NA,0,1
"closing",4,1,0.2,"32-64-128",3,64,0.5033,0.5033,0.5,0.5022,0.0019,0.5,0.5033,0.4771,NA,0,1
"closing",4,3,0.2,"64-128-256",3,256,0.4833,0.4833,0.5167,0.4944,0.0192,0.4833,0.5167,0.3017,0.6813,1,0
"closing",4,5,0.2,"32-64-128",3,64,0.4765,0.4765,0.4765,0.4765,0,0.4765,0.4765,0.8075,NA,0,1
"closing",6,1,0.3,"64-128-256",3,256,0.5067,0.5067,0.5067,0.5067,0,0.5067,0.5067,0.4313,NA,0,1
"closing",6,3,0.2,"32-64-128",3,64,0.4866,0.4732,0.4866,0.4821,0.0077,0.4732,0.4866,0.6989,NA,0,1
"closing",6,5,0.2,"32-64-128",3,64,0.4797,0.4797,0.5203,0.4932,0.0234,0.4797,0.5203,0.2613,0.6844,1,0
