"Fon","Input","Output","Best_d","Test_Acc"
"ALZ",2,1,0,1
"ALZ",2,3,0,1
"ALZ",2,5,0,1
"ALZ",4,1,0,1
"ALZ",4,3,0,1
"ALZ",4,5,0,1
"ALZ",6,1,0,0.9697
"ALZ",6,3,0,1
"ALZ",6,5,0,1
"AZS",2,1,0,0.6857
"AZS",2,3,0,0.7273
"AZS",2,5,0,0.8065
"AZS",4,1,0,0.6286
"AZS",4,3,0,0.5758
"AZS",4,5,0,0.6129
"AZS",6,1,1,0.7429
"AZS",6,3,1,0.6667
"AZS",6,5,1,0.8065
"AMZ",2,1,0,0.7143
"AMZ",2,3,0,0.7879
"AMZ",2,5,0,0.8065
"AMZ",4,1,0,0.7143
"AMZ",4,3,0,0.7879
"AMZ",4,5,0,0.8065
"AMZ",6,1,0,0.7143
"AMZ",6,3,0,0.7879
"AMZ",6,5,0,0.8065
