"Fon","Feature_Set","Input","Output","Dropout","Filters","Kernel","Dense","Seed_23","Seed_27","Seed_98","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"ALZ","full",2,1,0.2,"32-64-128",3,64,1,0.9375,1,0.9792,0.0361,0.9375,1,0,1,1,NA
"ALZ","full",2,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",2,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,1,0.2,"32-64-128",3,64,1,0.9667,0.9,0.9556,0.0509,0.9,1,0,1,1,NA
"ALZ","full",4,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,3,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,5,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,1,0.2,"32-64-128",3,64,1,1,1,1,0,1,1,0,1,1,NA
