"Fon","Feature_Set","Input","Output","Optimizer","Activation","Dropout","Seed_23","Seed_27","Seed_98","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"ALZ","full",2,1,"adam","relu",0,1,0.9375,1,0.9792,0.0361,0.9375,1,0,1,1,NA
"ALZ","full",2,3,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",2,5,"sgd","relu",0,1,0.9286,1,0.9762,0.0412,0.9286,1,0,1,1,NA
"ALZ","full",4,1,"adam","relu",0,0.9667,0.9667,0.9333,0.9556,0.0192,0.9333,0.9667,0,0.9831,0.9667,NA
"ALZ","full",4,3,"adam","relu",0,1,0.9643,1,0.9881,0.0206,0.9643,1,0,1,1,NA
"ALZ","full",4,5,"adam","relu",0,1,1,0.9615,0.9872,0.0222,0.9615,1,0,1,1,NA
"ALZ","full",6,1,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,3,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,5,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,1,"adam","relu",0,0.9062,0.9062,0.9062,0.9062,0,0.9062,0.9062,0,0.9508,0.9062,NA
"ALZ","technical",2,3,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,5,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,1,"adam","relu",0,0.9333,1,1,0.9778,0.0385,0.9333,1,0,1,1,NA
"ALZ","technical",4,3,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,5,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,1,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,3,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,5,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,1,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,3,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,5,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,1,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,3,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,5,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,1,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,3,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,5,"adam","relu",0,1,1,1,1,0,1,1,0,1,1,NA
"AZS","full",2,1,"adam","tanh",0.4,0.5,0.6471,0.4706,0.5392,0.0945,0.4706,0.6471,0.0607,0.7391,0.7391,0.4545
"AZS","full",2,3,"sgd","relu",0.2,0.5312,0.4062,0.375,0.4375,0.0827,0.375,0.5312,0.43,0.6512,0.6087,0.3333
"AZS","full",2,5,"adam","relu",0,0.7,0.6,0.7667,0.6889,0.0839,0.6,0.7667,0.0026,0.8444,0.7917,0.6667
"AZS","full",4,1,"sgd","tanh",0.4,0.4688,0.4375,0.5,0.4688,0.0312,0.4375,0.5,0.57,0.5789,0.5,0.5
"AZS","full",4,3,"adam","tanh",0.4,0.4333,0.6,0.4667,0.5,0.0882,0.4333,0.6,0.1808,0.7273,0.7273,0.25
"AZS","full",4,5,"adam","relu",0.2,0.8571,0.6071,0.5357,0.6667,0.1688,0.5357,0.8571,1e-04,0.913,0.913,0.6
"AZS","full",6,1,"adam","tanh",0.4,0.5667,0.5,0.7,0.5889,0.1018,0.5,0.7,0.0214,0.7692,0.7143,0.6667
"AZS","full",6,3,"adam","tanh",0.2,0.5,0.4286,0.7143,0.5476,0.1487,0.4286,0.7143,0.0178,0.8095,0.8095,0.4286
"AZS","full",6,5,"adam","tanh",0,0.5769,0.5769,0.6538,0.6026,0.0444,0.5769,0.6538,0.0843,0.7907,0.8095,0
"AZS","technical",2,1,"sgd","tanh",0,0.4412,0.4706,0.4706,0.4608,0.017,0.4412,0.4706,0.6962,0.4375,0.3043,0.8182
"AZS","technical",2,3,"sgd","relu",0.4,0.4688,0.5312,0.5312,0.5104,0.0361,0.4688,0.5312,0.43,0.6512,0.6087,0.3333
"AZS","technical",2,5,"adam","relu",0.2,0.6,0.7,0.5667,0.6222,0.0694,0.5667,0.7,0.0214,0.8235,0.875,0
"AZS","technical",4,1,"sgd","relu",0,0.5312,0.3125,0.3125,0.3854,0.1263,0.3125,0.5312,0.43,0.6341,0.5909,0.4
