"Feature_Set","Input","Output","Optimizer","Activation","Dropout","Seed_23","Seed_27","Seed_98","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"hist_tech",2,1,"sgd","tanh",0.4,0.5493,0.5296,0.5066,0.5285,0.0214,0.5066,0.5493,0.048,0.5836,0.6316,0.4671
"hist_tech",2,3,"sgd","relu",0,0.4702,0.4536,0.5596,0.4945,0.057,0.4536,0.5596,0.0219,0.6167,0.6815,0.4276
"hist_tech",2,5,"adam","relu",0.4,0.4667,0.49,0.4967,0.4844,0.0158,0.4667,0.4967,0.5687,0.5237,0.5253,0.4648
"hist_tech",4,1,"adam","tanh",0,0.4636,0.4934,0.5033,0.4868,0.0207,0.4636,0.5033,0.4771,0.3119,0.2267,0.7763
"hist_tech",4,3,"sgd","tanh",0.2,0.5867,0.5867,0.5533,0.5756,0.0192,0.5533,0.5867,0.0016,0.5894,0.5742,0.6
"hist_tech",4,5,"sgd","relu",0.4,0.4899,0.4832,0.4799,0.4843,0.0051,0.4799,0.4899,0.6574,0.4016,0.3269,0.669
"hist_tech",6,1,"sgd","relu",0.4,0.5167,0.4667,0.51,0.4978,0.0271,0.4667,0.5167,0.3017,0.4444,0.3919,0.6382
"hist_tech",6,3,"adam","tanh",0,0.4966,0.5067,0.5268,0.5101,0.0154,0.4966,0.5268,0.1925,0.4245,0.3399,0.7241
"hist_tech",6,5,"sgd","tanh",0,0.4764,0.4899,0.4932,0.4865,0.0089,0.4764,0.4932,0.6143,0.3697,0.2857,0.7183
"technical",2,1,"sgd","tanh",0.2,0.5362,0.523,0.5197,0.5263,0.0087,0.5197,0.5362,0.1142,0.522,0.5066,0.5658
"technical",2,3,"sgd","tanh",0.4,0.5033,0.543,0.4868,0.511,0.0289,0.4868,0.543,0.0751,0.5818,0.6115,0.469
"technical",2,5,"sgd","relu",0.2,0.4967,0.49,0.5067,0.4978,0.0084,0.49,0.5067,0.4313,0.3211,0.2215,0.8239
"technical",4,1,"sgd","relu",0.4,0.4868,0.5331,0.5166,0.5121,0.0235,0.4868,0.5331,0.1371,0.4946,0.46,0.6053
"technical",4,3,"sgd","relu",0.4,0.55,0.49,0.4833,0.5078,0.0367,0.4833,0.55,0.047,0.624,0.7226,0.3655
"technical",4,5,"adam","tanh",0.4,0.5134,0.5,0.4631,0.4922,0.0261,0.4631,0.5134,0.3426,0.461,0.3974,0.6408
"technical",6,1,"sgd","relu",0.2,0.4933,0.5067,0.5233,0.5078,0.015,0.4933,0.5233,0.2265,0.4348,0.3716,0.6711
"technical",6,3,"sgd","tanh",0.4,0.5503,0.5134,0.5034,0.5224,0.0247,0.5034,0.5503,0.0464,0.67,0.8889,0.1931
"technical",6,5,"adam","relu",0.2,0.4324,0.5169,0.4595,0.4696,0.0431,0.4324,0.5169,0.3005,0.2353,0.1429,0.9225
"historical",2,1,"sgd","relu",0.4,0.5,0.5066,0.4605,0.489,0.0249,0.4605,0.5066,0.4317,0.4094,0.3421,0.6711
"historical",2,3,"adam","relu",0,0.4801,0.4768,0.4768,0.4779,0.0019,0.4768,0.4801,0.7728,NA,0,1
"historical",2,5,"adam","relu",0,0.48,0.4733,0.46,0.4711,0.0102,0.46,0.48,0.7735,0.22,0.1392,0.8592
"historical",4,1,"sgd","relu",0,0.5166,0.4801,0.5033,0.5,0.0184,0.4801,0.5166,0.3023,0.0988,0.0533,0.9737
"historical",4,3,"adam","relu",0.2,0.4833,0.4833,0.4833,0.4833,0,0.4833,0.4833,0.7373,NA,0,1
"historical",4,5,"sgd","relu",0.4,0.4765,0.5067,0.4765,0.4866,0.0174,0.4765,0.5067,0.431,0.2829,0.1859,0.8592
"historical",6,1,"sgd","tanh",0,0.45,0.5067,0.5067,0.4878,0.0327,0.45,0.5067,0.4313,NA,0,1
"historical",6,3,"adam","tanh",0,0.5403,0.5403,0.5,0.5268,0.0232,0.5,0.5403,0.0913,0.4907,0.4314,0.6552
"historical",6,5,"adam","relu",0,0.5608,0.5338,0.5473,0.5473,0.0135,0.5338,0.5608,0.0209,0.381,0.2597,0.8873
"closing",2,1,"adam","relu",0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5229,0.6667,1,0
"closing",2,3,"adam","relu",0,0.5199,0.5199,0.5199,0.5199,0,0.5199,0.5199,0.2634,0.6841,1,0
"closing",2,5,"adam","tanh",0,0.5267,0.5267,0.5267,0.5267,0,0.5267,0.5267,0.1933,0.69,1,0
"closing",4,1,"sgd","relu",0,0.5033,0.5033,0.5033,0.5033,0,0.5033,0.5033,0.4771,NA,0,1
"closing",4,3,"adam","relu",0,0.4833,0.4833,0.5167,0.4944,0.0192,0.4833,0.5167,0.3017,0.6813,1,0
"closing",4,5,"adam","relu",0,0.4765,0.4765,0.5235,0.4922,0.0271,0.4765,0.5235,0.2257,0.6872,1,0
"closing",6,1,"sgd","relu",0,0.4933,0.5067,0.5067,0.5022,0.0077,0.4933,0.5067,0.4313,NA,0,1
"closing",6,3,"adam","relu",0,0.5134,0.5134,0.4866,0.5045,0.0155,0.4866,0.5134,0.3426,0.6785,1,0
"closing",6,5,"adam","relu",0,0.5203,0.5203,0.5203,0.5203,0,0.5203,0.5203,0.2613,0.6844,1,0
