lambda,seed,Acc,Sens,Spec,mean_yhat,n_pred_Up,n_pred_Down,is_MC
0.0,23,0.8108108108108109,1.0,0.0,0.6116087982106664,37,0,True
0.0,27,0.6216216216216216,0.6,0.7142857142857143,0.5073045162475665,20,17,False
0.0,98,0.5675675675675675,0.5333333333333333,0.7142857142857143,0.5438776712874064,18,19,False
0.1,23,0.8108108108108109,1.0,0.0,0.6091207101317421,37,0,True
0.1,27,0.5675675675675675,0.5,0.8571428571428571,0.47670751602773276,16,21,False
0.1,98,0.5675675675675675,0.5333333333333333,0.7142857142857143,0.5419669832933092,18,19,False
0.3,23,0.8108108108108109,1.0,0.0,0.6282012602282852,37,0,True
0.3,27,0.5405405405405406,0.4666666666666667,0.8571428571428571,0.4683805623976264,15,22,False
0.3,98,0.40540540540540543,0.26666666666666666,1.0,0.4193219342703015,8,29,False
0.5,23,0.8108108108108109,1.0,0.0,0.6277153104746952,37,0,True
0.5,27,0.6486486486486487,0.6,0.8571428571428571,0.4848770127438132,19,18,False
0.5,98,0.43243243243243246,0.3,1.0,0.4252045680352602,9,28,False
