"File","Line","Type","Value","Content"
"PROJE_RAPOR.txt","55","Percentage","%51.34","# Ortalama Accuracy: %51.34"
"PROJE_RAPOR.txt","56","Percentage","%55.78","# En iyi: Input=6, Output=3 → %55.78"
"PROJE_RAPOR.txt","59","Float","0.5016","#  2       1       3      0.5016"
"PROJE_RAPOR.txt","60","Float","0.5248","#  2       3       1      0.5248"
"PROJE_RAPOR.txt","61","Float","0.5183","#  2       5       1      0.5183"
"PROJE_RAPOR.txt","62","Float","0.4984","#  4       1       3      0.4984"
"PROJE_RAPOR.txt","63","Float","0.4851","#  4       3       1      0.4851"
"PROJE_RAPOR.txt","64","Float","0.4950","#  4       5       1      0.4950"
"PROJE_RAPOR.txt","65","Float","0.5115","#  6       1       3      0.5115"
"PROJE_RAPOR.txt","66","Float","0.5578","#  6       3       1      0.5578"
"PROJE_RAPOR.txt","67","Float","0.5282","#  6       5       1      0.5282"
"PROJE_RAPOR.txt","70","Percentage","%50.54","# Ortalamalar: hist_tech: %50.54 | technical: %50.52 | historical: %49.66 | closing: %50.71"
"PROJE_RAPOR.txt","70","Percentage","%50.52","# Ortalamalar: hist_tech: %50.54 | technical: %50.52 | historical: %49.66 | closing: %50.71"
"PROJE_RAPOR.txt","70","Percentage","%49.66","# Ortalamalar: hist_tech: %50.54 | technical: %50.52 | historical: %49.66 | closing: %50.71"
"PROJE_RAPOR.txt","70","Percentage","%50.71","# Ortalamalar: hist_tech: %50.54 | technical: %50.52 | historical: %49.66 | closing: %50.71"
"PROJE_RAPOR.txt","71","Percentage","%57.56","# En iyi gerçek öğrenme: hist_tech In=4 Out=3 → %57.56 (Spec=0.60)"
"PROJE_RAPOR.txt","71","Float","0.60","# En iyi gerçek öğrenme: hist_tech In=4 Out=3 → %57.56 (Spec=0.60)"
"PROJE_RAPOR.txt","75","Percentage","%49.28","# Ortalamalar: hist_tech: %49.28 | technical: %49.55 | historical: %49.56 | closing: %48.98"
"PROJE_RAPOR.txt","75","Percentage","%49.55","# Ortalamalar: hist_tech: %49.28 | technical: %49.55 | historical: %49.56 | closing: %48.98"
"PROJE_RAPOR.txt","75","Percentage","%49.56","# Ortalamalar: hist_tech: %49.28 | technical: %49.55 | historical: %49.56 | closing: %48.98"
"PROJE_RAPOR.txt","75","Percentage","%48.98","# Ortalamalar: hist_tech: %49.28 | technical: %49.55 | historical: %49.56 | closing: %48.98"
"PROJE_RAPOR.txt","76","Percentage","%53.97","# En iyi: hist_tech In=2 Out=3 → %53.97 (Spec=0.33)"
"PROJE_RAPOR.txt","76","Float","0.33","# En iyi: hist_tech In=2 Out=3 → %53.97 (Spec=0.33)"
"PROJE_RAPOR.txt","80","Percentage","%53.11","# Out=1: %53.11 | Out=3: %73.93 | Out=5: %79.73"
"PROJE_RAPOR.txt","80","Percentage","%73.93","# Out=1: %53.11 | Out=3: %73.93 | Out=5: %79.73"
"PROJE_RAPOR.txt","80","Percentage","%79.73","# Out=1: %53.11 | Out=3: %73.93 | Out=5: %79.73"
"PROJE_RAPOR.txt","91","Percentage","%80.65","# ARIMA Max: %80.65"
"PROJE_RAPOR.txt","92","Percentage","%68.89","# LSTM Max (Full, In=2, Out=5): %68.89 (Spec=0.667)"
"PROJE_RAPOR.txt","92","Float","0.667","# LSTM Max (Full, In=2, Out=5): %68.89 (Spec=0.667)"
"PROJE_RAPOR.txt","93","Percentage","%75.56","# CNN Max (Technical, In=4, Out=3): %75.56 (Spec=0.625)"
"PROJE_RAPOR.txt","93","Float","0.625","# CNN Max (Technical, In=4, Out=3): %75.56 (Spec=0.625)"
"PROJE_RAPOR.txt","94","Percentage","%90.32","# Naive Max: %90.32"
"PROJE_RAPOR.txt","97","Percentage","%80.65","# ARIMA: %80.65"
"PROJE_RAPOR.txt","98","Percentage","%80.21","# LSTM Max (Full, In=2, Out=3): %80.21 (Spec=0.857) ← GERÇEK ÖĞRENME!"
"PROJE_RAPOR.txt","98","Float","0.857","# LSTM Max (Full, In=2, Out=3): %80.21 (Spec=0.857) ← GERÇEK ÖĞRENME!"
"PROJE_RAPOR.txt","99","Percentage","%73.81","# CNN Max (Technical, In=4, Out=5): %73.81 (Spec=0.167)"
"PROJE_RAPOR.txt","99","Float","0.167","# CNN Max (Technical, In=4, Out=5): %73.81 (Spec=0.167)"
"PROJE_RAPOR.txt","100","Percentage","%83.87","# Naive Max: %83.87"
"PROJE_RAPOR.txt","105","Percentage","%66.72","# THYAO ARIMA Ortalama : %66.72 (Eski) → %51.34 (Güncel) |-15.38%|"
"PROJE_RAPOR.txt","105","Percentage","%51.34","# THYAO ARIMA Ortalama : %66.72 (Eski) → %51.34 (Güncel) |-15.38%|"
"PROJE_RAPOR.txt","105","Percentage","%15.38","# THYAO ARIMA Ortalama : %66.72 (Eski) → %51.34 (Güncel) |-15.38%|"
"PROJE_RAPOR.txt","107","Percentage","%80.60","# AMZ LSTM Max         : %80.60 (Eski-MC) → %80.21 (Güncel-GERÇEK)|"
"PROJE_RAPOR.txt","107","Percentage","%80.21","# AMZ LSTM Max         : %80.60 (Eski-MC) → %80.21 (Güncel-GERÇEK)|"
"PROJE_RAPOR.txt","115","Percentage","%80.21","# Derin öğrenme algoritmalarının başarısının model karmaşıklığından ziyade verinin doğasına (sinyal/gürültü oranı) bağlı olduğu kanıtlanmıştır. THYAO gibi yüksek gürültülü bir piyasada hiçbir karmaşık ağ yapısı Naive Baseline'ı istikrarlı şekilde aşamazken, AMZ fonunda LSTM %80.21 başarı yakalamıştır."
